Artikelnr;Artikel Bezeichnung 1;Artikel Bezeichnung 2;Artikel Bezeichnung3;Lieferant;Hersteller;Lief. Artikelnr;Lief. Artikel Bezeichnung 1;Lief. Artikel Bezeichnung 2;Lief. Artikel Bezeichnung 3
1153848;3L410;SKF Gardenpower;;Concar;SKF;3L410;3L - 410;ConCar Keilriemen,GardenPower,;
1157507;4L240;SKF Gardenpower;;Concar;SKF;4L240;4L - 240;ConCar Keilriemen,GardenPower,;
1158728;4L460;SKF Gardenpower;;Concar;SKF;4L460;4L - 460;ConCar Keilriemen,GardenPower,;
1159020;06B-1SKF NI Rollenkette;SKF Einfach-Rollenkette  DIN 8187 vernickelt;K06B1SKFV;Concar;SKF;1159020;06B-1SKF NI Rollenkette;SKF Einfach-Rollenkette  DIN 8187 vernickelt;K06B1SKFV
1159021;06B-1SKF NI VGL gerade;SKF Kettenverschlußglied vernickelt;KSG06B1SKFV;Concar;SKF;1159021;06B-1SKF NI VGL gerade;SKF Kettenverschlußglied vernickelt;KSG06B1SKFV
1158303;12B-1SKF-S;SKF-Niro-Rollenkette Teilung P=19,05 mm;Einfach-Rollenketten DIN 8187/ISO 606, Edelstahl;Concar;SKF;1158303;12B-1SKF-S;SKF-Niro-Rollenkette Teilung P=19,05 mm;Einfach-Rollenketten DIN 8187/ISO 606, Edelstahl
1159653;3L390;SKF Gardenpower;;Concar;SKF;3L390;3L - 390;ConCar Keilriemen,GardenPower,;
1160923;4L1090;SKF Gardenpower;;Concar;SKF;4L1090;4L - 1090;ConCar Keilriemen,GardenPower,;
1161102;4L1100;Gardenpower;;Concar;SKF;4L1100;4L - 1100;ConCar Keilriemen,GardenPower,;
1176744;TLGB 20-2;SKF Ersatzakku 20V Li-Ion ;für Schmierpresse;Concar;SKF;1176744;TLGB20-2-SKF;SKF Ersatzakku 20V Li-Ion ;für Schmierpresse
1176744;TLGB 20-2;SKF Ersatzakku 20V Li-Ion ;für Schmierpresse;Concar;SKF;1176744;TLGB 20-2;SKF Ersatzakku 20V Li-Ion ;für Schmierpresse
1176744;TLGB 20-2;SKF Ersatzakku 20V Li-Ion ;für Schmierpresse;Concar;SKF;1176744;TLGB 20-2;SKF Ersatzakku 20V Li-Ion ;für Schmierpresse
1178475;4L1120;SKF Gardenpower;La=2845mm;Concar;SKF;4L1120;4L - 1120;ConCar Keilriemen,GardenPower,;La=2845mm
1180187;4L910;SKF Gardenpower;;Concar;SKF;4L910;4L - 910;ConCar Keilriemen,GardenPower,;
1180365;3L750;SKF Gardenpower;;Concar;SKF;3L750;3L - 750;ConCar Keilriemen,GardenPower,;
1180366;3L740;SKF Gardenpower;;Concar;SKF;3L740;3L - 740;ConCar Keilriemen,GardenPower,;
1180367;3L710;SKF Gardenpower;;Concar;SKF;3L710;3L - 710;ConCar Keilriemen,GardenPower,;
1180368;3L690;SKF Gardenpower;;Concar;SKF;3L690;3L - 690;ConCar Keilriemen,GardenPower,;
1180369;3L620;SKF Gardenpower;;Concar;SKF;3L620;3L - 620;ConCar Keilriemen,GardenPower,;
1180370;3L610;SKF Gardenpower;;Concar;SKF;3L610;3L - 610;ConCar Keilriemen,GardenPower,;
1180371;3L600;SKF Gardenpower;;Concar;SKF;3L600;3L - 600;ConCar Keilriemen,GardenPower,;
1180372;3L590;SKF Gardenpower;;Concar;SKF;3L590;3L - 590;ConCar Keilriemen,GardenPower,;
